,0
0,0.027076000347733498
1,0.010830000042915344
2,0.010830000042915344
3,0.010830000042915344
4,0.05595700070261955
5,0.010830000042915344
6,0.010830000042915344
7,0.009025000035762787
8,0.009025000035762787
9,0.0072200000286102295
10,0.021661000326275826
11,0.14259900152683258
12,0.0072200000286102295
13,0.009025000035762787
14,0.01805100031197071
15,0.021661000326275826
16,0.0036100000143051147
17,0.010830000042915344
18,0.005415000021457672
19,0.01805100031197071
20,0.09025300294160843
21,0.15703999996185303
22,0.45667898654937744
23,0.5144400000572205
24,0.25270798802375793
25,0.33934998512268066
26,0.555957019329071
27,0.5541520118713379
28,0.5541520118713379
29,0.5072199702262878
30,0.5667870044708252
31,0.5541520118713379
32,0.564981997013092
33,0.5667870044708252
34,0.5667870044708252
35,0.5812270045280457
36,0.5234659910202026
37,0.5631769895553589
38,0.5631769895553589
39,0.5631769895553589
40,0.5505419969558716
41,0.5595669746398926
42,0.5451260209083557
43,0.555957019329071
44,0.5667870044708252
